iter	Passed	Remaining
0	8	8891
1	14	7452
2	20	6811
3	26	6551
4	31	6324
5	36	6116
6	42	6017
7	47	5930
8	53	5886
9	59	5849
10	64	5768
11	69	5714
12	75	5712
13	81	5726
14	86	5699
15	92	5693
16	97	5661
17	103	5634
18	109	5630
19	114	5609
20	120	5596
21	125	5589
22	131	5582
23	139	5689
24	146	5694
25	151	5674
26	157	5674
27	162	5649
28	168	5645
29	173	5622
30	178	5592
31	184	5595
32	190	5589
33	196	5576
34	201	5556
35	207	5553
36	212	5540
37	218	5533
38	223	5503
39	229	5502
40	234	5485
41	240	5478
42	245	5466
43	251	5468
44	257	5464
45	262	5449
46	268	5441
47	274	5439
48	279	5433
49	285	5431
50	291	5418
51	296	5410
52	302	5400
53	307	5389
54	314	5407
55	322	5434
56	329	5457
57	335	5444
58	340	5433
59	346	5423
60	351	5415
61	357	5407
62	362	5397
63	369	5396
64	376	5414
65	381	5404
66	388	5407
67	394	5402
68	399	5396
69	405	5393
70	411	5384
71	417	5378
72	423	5372
73	428	5367
74	434	5356
75	439	5349
76	445	5339
77	451	5336
78	457	5329
79	462	5318
80	467	5309
81	473	5298
82	478	5290
83	484	5281
84	489	5271
85	495	5265
86	501	5261
87	507	5255
88	512	5248
89	518	5243
90	524	5235
91	529	5223
92	535	5220
93	542	5227
94	548	5228
95	555	5228
96	561	5224
97	566	5214
98	571	5200
99	576	5191
100	587	5225
101	592	5214
102	598	5211
103	603	5201
104	609	5195
105	615	5188
106	620	5181
107	625	5170
108	634	5183
109	643	5208
110	649	5204
111	655	5195
112	660	5186
113	666	5178
114	671	5169
115	677	5165
116	685	5172
117	692	5176
118	698	5172
119	704	5164
120	709	5155
121	715	5145
122	720	5137
123	726	5129
124	735	5147
125	741	5145
126	749	5155
127	756	5152
128	762	5145
129	768	5144
130	774	5138
131	784	5157
132	793	5174
133	799	5166
134	805	5159
135	810	5150
136	816	5143
137	822	5136
138	830	5147
139	841	5170
140	847	5162
141	854	5160
142	860	5156
143	868	5161
144	874	5159
145	884	5173
146	892	5180
147	898	5170
148	903	5163
149	910	5159
150	916	5153
151	922	5147
152	930	5150
153	940	5164
154	945	5156
155	952	5151
156	958	5144
157	963	5136
158	970	5130
159	977	5132
160	984	5131
161	990	5126
162	996	5118
163	1003	5115
164	1009	5108
165	1015	5102
166	1021	5095
167	1028	5093
168	1036	5094
169	1043	5092
170	1049	5086
171	1055	5080
172	1060	5071
173	1066	5062
174	1072	5055
175	1079	5055
176	1085	5048
177	1091	5041
178	1096	5029
179	1102	5022
180	1108	5013
181	1113	5005
182	1120	5003
183	1128	5004
184	1135	5002
185	1141	4995
